,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
59,frozenset({'Toyama Kasumi'}),frozenset({'Maruyama Aya'}),0.14748341786968397,0.30003901677721423,0.05696449473273508,0.3862433862433862,1.2873105317838736,0.012713715044172076,1.1404536709405735
60,frozenset({'Shirokane Rinko'}),frozenset({'Ichigaya Arisa'}),0.18181818181818182,0.27155676941084667,0.05696449473273508,0.3133047210300429,1.153735632183908,0.007590536658035683,1.0607954545454545
61,frozenset({'Hazawa Tsugumi'}),frozenset({'Matsubara Kanon'}),0.16894264533749512,0.2500975419430355,0.05657432696059306,0.33487297921478065,1.3389694941146377,0.0143221866323315,1.1274575150648112
62,frozenset({'Mitake Ran'}),frozenset({'Maruyama Aya'}),0.17167381974248927,0.30003901677721423,0.05618415918845104,0.32727272727272727,1.0907672301690505,0.00467531510652585,1.0404825426284654
63,frozenset({'Minato Yukina'}),frozenset({'Okusawa Misaki'}),0.16777214202106905,0.3312524385485759,0.05462348809988295,0.32558139534883723,0.9828799956172789,-0.0009514430651141742,0.991591211807284
64,frozenset({'Uehara Himari'}),frozenset({'Maruyama Aya'}),0.14553257900897387,0.30003901677721423,0.053062817011314864,0.36461126005361927,1.2152128212190196,0.0093973650964101,1.1016263575615997
65,frozenset({'Hazawa Tsugumi'}),frozenset({'Okusawa Misaki'}),0.16894264533749512,0.3312524385485759,0.053062817011314864,0.3140877598152425,0.9481824833998428,-0.002899846231577588,0.9749754010386082
66,frozenset({'Yamato Maya'}),frozenset({'Aoba Moca'}),0.14280140460397972,0.3499804916113929,0.05228248146703082,0.36612021857923494,1.0461160760519277,0.002304775680932576,1.025461810647544
67,frozenset({'Uehara Himari'}),frozenset({'Matsubara Kanon'}),0.14553257900897387,0.2500975419430355,0.05228248146703082,0.3592493297587131,1.4364368676623738,0.015885141184255852,1.1703498613190282
68,frozenset({'Toyama Kasumi'}),frozenset({'Ushigome Yuri'}),0.14748341786968397,0.3281310963714397,0.05228248146703082,0.3544973544973545,1.0803528175704156,0.003888585864844238,1.0408460884081794
69,frozenset({'Uehara Himari'}),frozenset({'Ichigaya Arisa'}),0.14553257900897387,0.27155676941084667,0.05033164260632072,0.3458445040214477,1.2735624479985206,0.010811285606614977,1.1135628074170254
70,frozenset({'Toyama Kasumi'}),frozenset({'Aoba Moca'}),0.14748341786968397,0.3499804916113929,0.049161139289894656,0.3333333333333333,0.9524340393905611,-0.002455179800665827,0.9750292625829106
71,frozenset({'Uehara Himari'}),frozenset({'Ushigome Yuri'}),0.14553257900897387,0.3281310963714397,0.048770971517752636,0.3351206434316354,1.0213010809932004,0.0010172068097748649,1.0105125042477943
72,frozenset({'Wakamiya Eve'}),frozenset({'Aoba Moca'}),0.12290284822473664,0.3499804916113929,0.048380803745610615,0.39365079365079364,1.124779246518377,0.005367204503476879,1.072021702316289
73,"frozenset({'Aoba Moca', 'Okusawa Misaki'})",frozenset({'Ichigaya Arisa'}),0.14202106905969566,0.27155676941084667,0.048380803745610615,0.34065934065934067,1.2544682329165089,0.00981402104348491,1.1048055663935492
74,"frozenset({'Aoba Moca', 'Ichigaya Arisa'})",frozenset({'Okusawa Misaki'}),0.10573546625048771,0.3312524385485759,0.048380803745610615,0.4575645756457565,1.3813168520377783,0.013355672709065916,1.2328611507029656
75,"frozenset({'Okusawa Misaki', 'Ichigaya Arisa'})",frozenset({'Aoba Moca'}),0.10690596956691377,0.3499804916113929,0.048380803745610615,0.4525547445255475,1.293085630121492,0.01096579996038953,1.1873689686565225
76,frozenset({'Seta Kaoru'}),frozenset({'Aoba Moca'}),0.14865392118611004,0.3499804916113929,0.04564962934061646,0.3070866141732283,0.8774392331393357,-0.006376343076059582,0.9380963359699215
77,"frozenset({'Aoba Moca', 'Ushigome Yuri'})",frozenset({'Okusawa Misaki'}),0.11158798283261803,0.3312524385485759,0.04369879047990636,0.39160839160839156,1.1822053094137899,0.006734999053885013,1.099205761925904
78,"frozenset({'Aoba Moca', 'Okusawa Misaki'})",frozenset({'Ushigome Yuri'}),0.14202106905969566,0.3281310963714397,0.04369879047990636,0.3076923076923077,0.9377115155949877,-0.0029027386184955345,0.9704773052412539
79,"frozenset({'Okusawa Misaki', 'Ushigome Yuri'})",frozenset({'Aoba Moca'}),0.10807647288333984,0.3499804916113929,0.04369879047990636,0.4043321299638989,1.1552990513907166,0.005874133368569713,1.0912448716584495
80,frozenset({'Wakamiya Eve'}),frozenset({'Ushigome Yuri'}),0.12290284822473664,0.3281310963714397,0.04330862270776434,0.35238095238095235,1.073902950002831,0.0029803763726088534,1.037444630602924
81,"frozenset({'Aoba Moca', 'Imai Lisa'})",frozenset({'Okusawa Misaki'}),0.08778774873195475,0.3312524385485759,0.042138119391338276,0.48,1.4490459363957597,0.013058213549188617,1.2860530027912003
82,"frozenset({'Okusawa Misaki', 'Imai Lisa'})",frozenset({'Aoba Moca'}),0.08856808427623879,0.3499804916113929,0.042138119391338276,0.47577092511013214,1.359421272081682,0.011141017715260947,1.2399531798673429
83,"frozenset({'Aoba Moca', 'Hikawa Sayo'})",frozenset({'Okusawa Misaki'}),0.08934841982052283,0.3312524385485759,0.03940694498634413,0.44104803493449785,1.3314559641191024,0.009810063040334032,1.1964311841591886
84,"frozenset({'Okusawa Misaki', 'Hikawa Sayo'})",frozenset({'Aoba Moca'}),0.10534529847834569,0.3499804916113929,0.03940694498634413,0.3740740740740741,1.0688426442049632,0.0025381456359437893,1.0384927057096092
85,"frozenset({'Maruyama Aya', 'Ushigome Yuri'})",frozenset({'Matsubara Kanon'}),0.10846664065548185,0.2500975419430355,0.03901677721420211,0.3597122302158274,1.4382877473372317,0.011889537003447574,1.171195973819304
86,"frozenset({'Maruyama Aya', 'Matsubara Kanon'})",frozenset({'Ushigome Yuri'}),0.09364026531408505,0.3281310963714397,0.03901677721420211,0.41666666666666674,1.2698176773682126,0.008290494292178884,1.1517752633632465
87,"frozenset({'Ushigome Yuri', 'Matsubara Kanon'})",frozenset({'Maruyama Aya'}),0.0963714397190792,0.30003901677721423,0.03901677721420211,0.40485829959514175,1.3493521740732746,0.010101585195485017,1.1761249173879462
88,frozenset({'Udagawa Ako'}),frozenset({'Aoba Moca'}),0.11158798283261803,0.3499804916113929,0.03862660944206009,0.34615384615384615,0.9890661178286596,-0.00042700764762323984,0.9941474834178697
89,frozenset({'Wakamiya Eve'}),frozenset({'Matsubara Kanon'}),0.12290284822473664,0.2500975419430355,0.03862660944206009,0.3142857142857143,1.2566525518163583,0.007888909203255488,1.093607751333073
90,"frozenset({'Aoba Moca', 'Hikawa Hina'})",frozenset({'Okusawa Misaki'}),0.0850565743269606,0.3312524385485759,0.03745610612563402,0.4403669724770642,1.329399941647486,0.009280908465240129,1.1949751507902497
91,"frozenset({'Okusawa Misaki', 'Hikawa Hina'})",frozenset({'Aoba Moca'}),0.06984003121342178,0.3499804916113929,0.03745610612563402,0.536312849162011,1.5324078399133048,0.013013457667405644,1.4018493012236222
